Character,Dialogue,Sentiment,Sentiment Category
Judy Hopps," initially hushed her voice gradually increasing in volume fear treachery blood lust. thousands of years ago these were the forces that ruled our world. a world where prey were scared of predators. and predators had an uncontrollable biological urge to maim and maul and
",-0.8225,Negative
Judy Hopps," ahh! she draws out long red ribbons from her costume blood blood blood! judy falls on her back making choking noises. she reaches for a hidden ketchup bottle and while still laying on her back places it upright under her arm and squeezes its contents all over her body while pretending to convulse. and... death!
",-0.8007,Negative
Judy Hopps," back then the world was divided in two  vicious predators jaguar hisses and meek prey. judy gives an innocent look as her ears droop. boxes labeled viscous sic predator and meek prey lower down and cover them. the sc in viscous is crossed out and replaced with ci proving it was corrected to being spelled vicious. bobby plays bass notes on the hammered dulcimer heavily then plays a light harp glissando when sharla the sheep in white robelike clothing tosses confetti from a basket over the bags and prances around. but over time we evolved and looked beyond our primitive savage ways. the boxes pull up and judy and jaguar are in white robes as well. sharla pops a noisemaker and judy and jaguar hold paws now predator and prey live in harmony and every young mammal has multitudinous opportunities.
",0.6369,Positive
Sharla," yeah i dont have to cower in a herd anymore. takes off white clothing revealing an astronaut outfit and puts on a helmet instead i can be an astronaut! the crowd applauds as bobby plays a slide whistle indicating alien music.
",0.7088,Positive
Judy Hopps," and i can make the world a better place i am going to be... bobby turns on a radio and moves his head side to side with the beat of the police music that is heard and judy tears off the clothing revealing a police officers uniform ...a police officer!
",0.3164,Positive
Young Gideon Grey," laughs and slaps his knee nudging travis who is eating peanuts bunny cop! that is the most stupidest thing i ever heard.
",-0.1986,Negative
Judy Hopps," puts on a police officers hat it may seem impossible to small minds  im looking at you gideon grey  gideon glares at her the jungle backdrop curtain on the stage rises revealing a colorful painted mural of zootopia behind it. sharla and jaguar hold up a banner reading where anyone can be anything bobby plays the piano in the background. ...but just twohundred and eleven miles away stands the great city of zootopia where our ancestors first joined together in peace and declared that anyone can be anything! judy bows. bobby plays the final notes on a keyboard and turns to the audience with a grin. the audience applauds. stu closes the camcorder and he and bonnie look at each other in concern thank you and good night!
",0.9841,Positive
Stu Hopps," judy you ever wonder how your mom and me got to be so darn happy?
",0.6096,Positive
Judy Hopps," enthusiastic nope!
",0.5411,Positive
Stu Hopps," well we gave up on our dreams and we settled right bon?
",0.5859,Positive
Bonnie Hopps," oh yes thats right stu. we settled hard.
",0.3182,Positive
Stu Hopps," see? thats the beauty of complacency jude. if you dont try anything new youll never fail!
",0.7871,Positive
Judy Hopps," i like trying actually. jumps on a line of hay and skips
",0.3612,Positive
Bonnie Hopps," what your father means hun is that its gonna be difficult impossible even for you to become a police officer.
",-0.3612,Negative
Stu Hopps," right! theres never been a bunny cop.
",0.0,Neutral
Bonnie Hopps," no.
",0.0,Neutral
Stu Hopps," bunnies dont do that.
",0.0,Neutral
Bonnie Hopps," never!
",0.0,Neutral
Stu Hopps," never.
",0.0,Neutral
Judy Hopps," disappointed oh... enthusiasm picks up again then i guess ill have to be the first one! because i runs to a stand flips off of it and lands striking a pose am gonna make the world a better place!
",-0.1739,Negative
Stu Hopps," laughs nervously or uh heck you know if you wanna talk about making the world a better place no better way to do it than becoming a carrot farmer.
",0.4756,Positive
Bonnie Hopps," yes! your dad me your twohundred seventyfive brothers and sisters were changing the world!
",0.508,Positive
Stu Hopps," yeah.
",0.296,Positive
Bonnie Hopps," one carrot at a time!
",0.0,Neutral
Stu Hopps," amen to that. carrot farming is a noble profession. as bonnie and stu are talking judy sees sharla gareth and a rabbit girl with tickets walking off gideon and travis are close by and they follow them.
",0.4588,Positive
Bonnie Hopps," mmhm. just putting the seeds on the ground.
",0.0,Neutral
Stu Hopps," ahh. and one with the soil just getting covered in dirt. judy follows her friends and foes.
",-0.3182,Negative
Bonnie Hopps," you get it honey. yeah but its great to have dreams.
",0.8957,Positive
Stu Hopps," yeah just as long as you dont believe in them too much. they both turn to look at her but then realize that judy is no longer present. stu briefly looks around whered the heck she go?
",-0.296,Negative
Young Gideon Grey," gimme your tickets right now or im gonna kick your meek little sheep butt! hits sharlas head
",0.0,Neutral
Sharla," ow! cut it out gideon!
",-0.3987,Negative
